label,value,headline,bold,underline,italic,fontSize
Show all categories,,,,,,
Alltag,,true,,,,
Nachhaltig essen,bio Lebensmittel,,,,,
Gute Lebensmitte,#bio,,,,,
Faire Kleidung,#fairfashion Kleidung,,,,,
Ressourcen sparend einkaufen,umsonstladen #secondhand,,,,,
Engagement,,true,,,,
Aktiv fürs Klima,Klimaschutz,,true,true,,30
Bildung von morgen,Bildung Schulevonmorgen,,,,true,
Nachhaltig wohnen,Wohnprojekt Lebensgemeinschaft Ökodorf,,,,,
